Serial_Number,5000-6900,5000-6909,5000-6906,5000-6941,5000-6900N,5000-6937,5000-6912,5000-6926,5000-6930,5000-6903,5000-6911,5000-6916,5000-6905,5000-6960,5000-6914,Target_luster,Target_L,Target_a,Target_b
GMPC05000190849,18,14.52,2.92,54.06,0,0,0,0,0,0,0,0,0,0,0,26.1,28.1,-0.5,-0.7
GMPC05000181687,0.18,0,0.09,86.78,0,0,0,0,0,0,0,0,0,0,0,5.9,24.3,-0.6,-0.7
P05000M01C23H20,0,1.2,0.05,0.06,95.47,0,0.23,0,0,0,0,0,0,0,0,85.4,86.5,1.1,11.3
P05000M01C23W50,84.37,0.93,0,4.13,0,0.32,0,0,0,0,0,0,0,0,0,31.8,59.1,-1.9,-0.4
P05000M01C24R46,19.41,35.5,17.84,15.99,0,0,0,0,0,0,0,0,0,0,0,21,32.9,3.1,3.8
P05000M01C25B04,87.5,2.48,0,1.63,0,0,0,0,0,0,0,0,0,0,0,39.6,68.2,-0.5,4.1
P05000M01C25S13,0,0.11,0,0.65,87.14,0,0,0,0,0,0,0,0,0,0,9.6,75.5,-0.9,0.9
P05000M01C25K26,18.26,65.15,7.2,0.77,0,0,0,0,0,0,0,0,0,0,0,27.4,50.1,17.4,25.6
P05000M01C25L50,46.7,13.56,3.01,24.4,0,0,0,0,0,0,0,0,0,0,0,9.8,34.9,-0.6,-0.3
P05000M01C25N05,50.3,11.32,2.46,22.26,0,0,0,0,0,0,0,0,0,0,0,1.5,36.1,-0.3,0.1
P05000M01C25N72,17.66,2.88,0,0,0,0,76.13,0,0,0,0.33,0,0,0,0,58,74.9,21.5,71.1
P05000M01C25N73,86.93,1.05,0,2.31,0,0.09,0,0,0,0,0,0,0,0,0,23.3,64.1,-1.3,0.9
P05000M01C25Q83,37.18,0,0,1.64,0,0,0,11.9,36.58,0.59,0,0,0,0,0,13.7,39.1,-10.4,-24.1
P05000M01C22U73,90.23,0.1,0,0.04,0,0,0,0,0,0,0,0,0,0,0,17.3,90,-1,3.4
P05000M08C22K12,85.33,1.39,1.81,8.47,0,0,0,0,0,0,0,0,0,0,0,79.2,51.3,0,-0.6
P05000M08C24G43,71.21,1.64,0,16.37,0,7.78,0,0,0,0,0,0,0,0,0,84.5,43.5,-5.2,-1.6
P05000M08C20S36,19.53,0,0.44,0.02,0,0,7.1,0,0,0,0,69.91,0,0,0,82.8,76,6.8,66.1
P05000M08C22O64,57.93,19.95,0,20.7,0,0.42,0,0,0,0,0,0,0,0,0,82.4,39.8,-1,1.5
P05000M08C25K92,94.03,0,0,0,0,0,0,0.03,0,2.94,0,0,0,0,0,86.5,73.6,17.6,-2
P05000M08C25O99,8.08,0,0,0,0,0,0,77.34,11.58,0,0,0,0,0,0,82.2,29.1,3.9,-17.5
P05000M08C25R12,0,0.96,0,0.47,95.57,0,0,0,0,0,0,0,0,0,0,86.4,79.8,-0.7,3.7
P05000M08C21T11,94.07,2.79,0.02,0.12,0,0,0,0,0,0,0,0,0,0,0,84.7,83.5,3.7,15.5
P05000M08C25K21,76.91,3.23,0,0,0,0,16.87,0,0,0,0,0,0,0,0,86.8,83.3,10.3,51.7
P05000M08C25O10,90.81,0.73,0,0.23,0,0,0,5.23,0,0,0,0,0,0,0,85.2,68.7,5.1,-13.4
P05000M08C23H50,65.04,2.82,0.84,28.3,0,0,0,0,0,0,0,0,0,0,0,79.2,37.6,-1,-1
P05000M08C25B45,21.42,0,0,0,0,0,25.81,0,0,0,49.77,0,0,0,0,86.8,54,51,37
P05000M08C22R92,64.08,0,0,6,0,0,0,0,21.15,5.77,0,0,0,0,0,78.9,43.5,-9.5,-12.1
P05000M08C25F71,96.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,87,92.3,-0.5,3.3
P05000M19C25M79,78.37,0,0,10.34,0,0,0,0,0.68,0.82,0,0,0,0,0,41.8,45.7,-1.6,-2.6
P05000M41C23T75,0,0,0,0,0,0,0,1.59,0,95.41,0,0,0,0,0,84.3,36.8,40.1,17.4
P05000M41C25Q49,36.93,9.53,19.55,0.08,0,0,0,0,0,0,22.52,0,0,0,0,11.3,46.6,33,20.2
P05000M41C25H53,95.4,0.43,0,0,0,0,0.03,0,0,0,0,0,0,0,0,84.6,91.8,0.2,9
P05000M41C25M69,16.67,0,0,0,0,33.36,34.86,0,6.37,0,0,0,0,0,0,52,42.3,-27.6,14.3
P05000M41C25S30,0,2.62,0.11,3.68,83.53,0,0,0,0,0,0,0,0,0,0,24,58.9,-1.3,0
P05000M41C25P45,24,51.51,4.62,0,0,16.87,0,0,0,0,0,0,0,0,0,82.6,46,-9.2,15.3
P05000M41C25Q48,85.87,0,0,0,0,0,8.89,0,0,0,0.04,0,0,0,0,81.3,86.8,5.7,43.6
P05000M41C24J54,88.21,0.37,0,0.11,0,0,0,0,0,0,0,0,0,0,0,11.4,86.1,-0.8,6
P05000M60C25G78,0,0,0,0,0,0.12,0,0,0.11,0,0,96.77,0,0,0,86.1,72.9,-20.6,63.5
P05000M60C25G75,92.2,0,0,0,0,0,0,0,4.38,0,0,0.42,0,0,0,86.8,72.8,-24.6,-17.9
P05000M60C25G76,32.5,0,0,11.09,0,0,9.39,0,44.03,0,0,0,0,0,0,84.8,35.2,-10.2,-6.3
P05000M60C25G77,90.29,0,0,0,0,0,0,0,4.13,0,0,2.58,0,0,0,86.8,72.5,-29.5,-5.1
P05000M60C25B32,9.09,0,0,13.2,0,0,0,68.6,6.11,0,0,0,0,0,0,81.7,28.3,0.2,-4.6
P05000M60C23K38,93.31,0,0,0,0,0,0,0,2.89,0,0,0.8,0,0,0,85.3,76,-24.8,-11.7
P05000M60C24W87,25.76,0,0,0,0,0,0,0,0,0,0,0,34.76,15.79,0,74.6,51.3,57.6,-0.6
P05000M67C25D14,89.21,0.07,0,0.04,0,0,0,0,0,0,0,0,0,0,0,28.2,89.1,-0.7,3
P05000M77C24U49,77.36,10.37,0.79,3.38,0,0,0,0,0,0,0,0,0,0,0,37.1,57.6,1.2,7.2
P05000M77C21C90,15.99,6.92,10.23,54.22,0,0,0,0,0,0,0,0,0,0,0,2.1,26.9,0.1,-0.2
P05000M77C21X47,3.45,0,0,0,0,0,0,0,0,49.52,44.03,0,0,0,0,85.4,42.4,50.4,24
P05000M77C20H64,16.5,0.78,11.1,57.02,0,0,0,0,0,0,0,0,0,0,0,5.9,27.6,-0.3,-1
P05000M77C20L37,96.93,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,86.7,92.1,-1.3,1.4
P05000M77C24J80,89.07,1.03,0.09,0.57,0,0,0,0,0,0,0,0,0,0,0,55.8,77.7,0.2,4.9
P05000M77C24D90,28.64,16.55,9.31,1.67,0,30.63,3.91,0,0,0,0,0,0,0,0,28.1,41,-11.5,5.4
P05000M77C24E32,24.8,0,0,0,0,0,0,9.87,45.58,7.15,0,0,0,0,0,26.2,35.4,-6.5,-22.8
P05000M77C25I56,1.95,0,0,0,0,0,92.72,0,0,0,0.48,0,0,0,0,69.6,69.5,16.7,68.3
P05000M77C25M62,3.34,0.42,0,83.55,0,0.92,0,0,0,0,0,0,0,0,0,7.4,25.2,-0.5,-0.7
P05000M79C21L84,52.78,8.05,13.49,1.9,0,0,0,0,20.34,0,0,0,0,0,0,86.7,80.7,3.4,15.4
P05000M79C25E96,92.5,4.19,0.1,0.21,0,0,0,0,0,0,0,0,0,0,0,76.4,42.8,-7.6,-4.6
P05000M79C21S18,0,0,0,0,11.13,59.6,20.24,0,0,0,0,0,0,0,0,58,39.7,-27.1,11.8
P05000M79C25Q59,86.4,0,0,0.01,0,0,4.89,0,0,0,0,0,0,0,0,51.4,87.1,2.4,34.4
P05000M79C21X83,81.21,7.16,0,5.54,0,0,0,0,0.4,0,0,0,0,0,0,73.8,54.3,-1.9,1.6
P05000M79C23J09,57.32,0,6.79,0,0,10.59,12.21,0,9.92,0,0,0,0,0,0,81.5,49.7,-17,3.9
P05000M79C25L13,60.75,24.74,0,0,0,5.88,0,0,0,0,0,4.51,0,0,0,83.6,63.9,-14.3,22.6
P05000M79C21O81,75.19,6.77,1.25,13.79,0,0,0,0,0,0,0,0,0,0,0,82.1,45.6,-0.6,0.4
P05000N09C24H17,83.35,1,0.12,3.4,0,0,0,0,0,0,0,0,0,0,0,8.9,60.2,-0.8,0.6
P05000N09C25C83,16.47,0,0,0,0,10.92,26.11,0,12.39,0,0,29.37,0,0,0,67.2,44.5,-29.2,18.3
P05000N09C25D80,92.18,2.14,0.39,0.64,0,0,0,0,0,0,0,0,0,0,0,75.1,75.5,1.8,6.8
P05000N09C25D81,30.2,0,0,0,0,0,0,22.03,34.38,1.96,0,0,0,0,0,19.7,37.1,-4.4,-29.9
P05000N09C25F46,20.71,0,0,0,0,44.92,30.39,0,0,0.98,0,0,0,0,0,84.5,43.9,-28.2,17.1
P05000N09C25G26,86.6,0.87,0.09,0.56,0,0,0,0,0,0,0,0,0,0,0,7.7,75.3,0.1,3.9
P05000N09C25P48,22.6,0,0,0,0,0,74.1,0,0,0,0.3,0,0,0,0,82.5,76.9,18.4,71.9
P05000N12C25E78,6.18,14.82,17.76,48.21,0,0,0,0,0,0,0,0,0,0,0,7.5,27.2,0.2,-0.2
P05000N15C25F80,47.78,21.75,7.85,10.99,0,0,0,0,0,0,0,0,0,0,0,3.4,40.4,2.4,5.1
P05000N15C25J30,0,42.61,4.19,0,0,31.13,0,0,19.07,0,0,0,0,0,0,85.2,31.9,-7.9,3.1
P05000N15C23W85,80.78,3.79,1.17,0.76,0,0,0,0,0,0,0,0,0,0,0,5.7,67.6,5.4,9.9
P05000N15C25R36,0,0,0,0,15.31,69.15,5.61,0,0,0.34,0,0,0,0,0,18.8,40.2,-31.6,6
P05000N15C25R20,6.7,44.43,20.94,21.49,0,0,0,0,0,0,0,0,0,0,0,48.9,30.6,2.4,3.3
P05000N15C25J29,18.56,39.68,4.22,0.15,0,0,21.97,0,0,0,0,0,0,0,0,1.9,54.2,20.1,37.4
P05000N15C25E97,88.38,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,91.8,-0.1,7.6
P05000N15C25J87,83.38,0.83,0.19,1.34,0,0,0,0,0,0,0,0,0,0,0,2.5,66.8,-0.4,1.6
P05000N15C25D73,95.79,0.34,0,0,0,0,0.53,0,0,0,0,0,0,0,0,86.8,88.9,-0.6,11.3
P05000N15C23X21,96.99,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8,93.6,-1.1,2.5
P05000N22C25B53,83.1,1.41,0,2.82,0,0,0,1.71,0.45,0,0,0,0,0,0,10.7,57.9,-0.2,-2.4
P05000N22C25B54,36.29,46.11,0.49,0.27,0,0,7.02,0,0,0,0,0,0,0,0,9.1,62.2,14.8,36.8
P05000N22C25F94,15.53,15.2,19.96,38.7,0,0,0,0,0,0,0,0,0,0,0,24.3,29.3,0.8,0.5
P05000N22C25O49,46.33,15.16,5.27,21.08,0,0,0,0,0,0,0,0,0,0,0,15.8,36.8,0.2,0.7
P05000N22C25P86,54.84,5,0,26.63,0,0,0,0,0,0,0,0,0,0,0,2.8,34.8,-1.1,-1.3
P05000N22C25Q54,0,0.18,0.05,0,86.02,0,0.23,0,0,0,0,0,0,0,0,6.9,88.9,1.1,11.2
P05000N22C22S27,6.7,0.99,2.21,76.92,0,0,0,0,0,0,0,0,0,0,0,14.9,26.1,-0.5,-0.9
P05000N22C25I97,62.93,17.68,4.85,3.03,0,0,0,0,0,0,0,0,0,0,0,19.1,54,5.9,10.1
P05000N22C22R42,61.12,15.04,7.35,4.63,0,0,0,0,0,0,0,0,0,0,0,26.6,48.3,5.7,7.4
P05000N22C22M61,0,24.76,30.13,31.5,5.12,0,0,0,0,0,0,0,0,0,0,34.8,28.7,1.4,1.6
P05000N22C22N82,0,12.83,15.72,55.27,4.79,0,0,0,0,0,0,0,0,0,0,14,26.1,0.3,0.4
P05000N22C24A18,12.24,28.76,8.57,38.59,0,0,0,0,0,0,0,0,0,0,0,17.9,29.3,0,0.7
P05000N22C24F11,90.77,0.34,0.06,0.5,0,0,0,0,0,0,0,0,0,0,0,37.8,76.6,-0.4,2.4
P05000N22C24H41,6.85,33.35,18.67,1.24,0,0,32.17,0,0,0,0,0,0,0,0,34.4,41.4,15.1,19.3
P05000N22C24M37,33.3,33.28,2.08,21.09,0,0,0,0,0,0,0,0,0,0,0,18.1,34.7,-0.2,2.1
P05000N22C25O48,15.33,67.71,0,0.17,0,0,0,0,0,0,7.74,0,0,0,0,33.7,53.3,27.9,32.2
P05000N22C24A69,84.46,1.93,0.66,4.42,0,0,0,0,0,0,0,0,0,0,0,37.8,57.4,-0.3,0.8
P05000N22C24U95,0,7.59,1.5,10.71,69.41,0,0,0,0,0,0,0,0,0,0,23.7,44.2,-0.5,-0.2
P05000N22C22R41,89.24,0.33,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,35.1,87.5,-0.5,5.3
P05000N22C24A73,89.37,0.15,0,0.21,0,0,0.21,0,0,0,0,0,0,0,0,44.4,83.3,-0.8,5
P05000N77C25D37,79.59,0,0,0,0,1.99,0,0,1.99,0,0,9.95,0,0,0,63.2,73.3,-33.9,17.1
P05000P03C25L71,95.73,0.06,0,0,0,0.02,0,0,0,0,0,0,0,0,0,83.7,91,-2.2,2.2
P05000P03C25M19,87.78,0.11,0,0.22,0,0,0,0,0,0,0,0.11,0,0,0,17,82.2,-1.5,2.6
P05000P03C22W03,57.36,0,2.9,31,0,0,0,2.54,0,0,0,0,0,0,0,64.6,35.7,-0.7,-1.6
P05000P03C25K64,25.2,0,0,0.55,0,0,0,0.55,69.45,0,0,0,0,0,0,82,38,-11.5,-28.8
P05000P11C25E33,16.71,11.69,42.4,22.71,0,0,0,0,0,0,0,0,0,0,0,45,31.3,4.9,3.4
P05000P11C25G82,9.33,22.01,25.34,32.86,0,0,0,0,0,0,0,0,0,0,0,23.3,29.2,1.6,1.4
P05000P11C25S23,0,1.07,0,0.05,95.36,0.05,0,0,0,0,0,0,0,0,0,78.5,87.2,0,9.6
P05000P50C24S33,57.07,18.92,7.83,5.8,0,0,0,0,0,0,0,0,0,0,0,31.8,47,5.3,7.6
P05000P50C24S34,7.58,20.9,25.22,34.69,0,0,0,0,0,0,0,0,0,0,0,19.8,28.4,1.5,1.4
P05000P50C25D57,47.84,4.46,0,0,0,0,35.57,0,0,0,0,0,0,0,0,24.5,79.7,15.2,65.5
P05000P50C25D58,84.79,0,0,4.09,0,0,0,0.21,0.2,0,0,0,0,0,0,25.6,57.9,-1.5,-1.4
P05000P50C25H56,69.96,0,1.62,1.06,0,0,0.61,0,13.19,3.98,0,0,0,0,0,12.5,49.7,-11.3,-13.7
P05000P50C25B29,73.97,13.27,3.64,2.42,0,0,0,0,0,0,0,0,0,0,0,20.5,54.8,5.8,10.4
P05000P50C25C85,90.09,0.82,0,0.05,0,0,0,0,0,0,0,0,0,0,0,46.7,87.8,1.4,10.4
P05000P50C25C86,31.26,19.18,13.5,27.06,0,0,0,0,0,0,0,0,0,0,0,34.6,32.8,1,1.1
P05000P50C25D04,8.98,20.15,22.3,38.7,0,0,0,0,0,0,0,0,0,0,0,31.8,28.8,1.1,1.2
P05000P50C25D33,83.75,3.58,0.03,0.83,0,0,0,0,0,0,0,0,0,0,0,4.3,70.3,0.6,8.5
P05000P50C25F85,89.59,0.72,0,0.25,0,0.08,0,0,0,0,0,0,0,0,0,38.5,81.3,-1.3,5.6
P05000P50C25G49,0,6.03,2.78,67.85,12.06,0,0,0,0,0,0,0,0,0,0,19.9,26.8,-0.4,-0.6
P05000P50C25H19,57.33,19.26,7.36,6.06,0,0,0,0,0,0,0,0,0,0,0,29.1,46.8,4.8,7.2
P05000P50C25H20,36.7,30.28,11.8,10.64,0,0,0,0,0,0,0,0,0,0,0,15.3,38.8,4.2,5.8
P05000P50C25L42,2.94,13.58,20.08,51.13,0,0,0,0,0,0,0,0,0,0,0,7.4,26.9,0.3,0.1
P05000P50C25L84,56.45,3.71,1.15,26.36,0,0,0,0,0,0,0,0,0,0,0,12.6,35.7,-1,-1.7
P05000P50C25O41,5.36,0,0,4.47,0,0,52.15,0,25.33,0,0,0,0,0,0,2.9,32.7,-12.8,6.1
P05000P50C25N37,88.57,0.43,0.05,0.08,0,0,0,0,0,0,0,0,0,0,0,17.7,84.3,0.3,5.2
P05000P50C25M18,87.9,0.77,0,0.3,0,0.03,0,0,0,0,0,0,0,0,0,21.6,80.1,-0.9,5.1
P05000P50C25N14,0,0.89,0,85.43,0,0,0,0,0,0,0,0,0,0,0,10.6,25.6,-0.6,-0.7
P05000P50C25N44,86.51,0.76,0.01,0.35,0,0,0,0,0,0,0,0,0,0,0,21.6,79.2,-0.1,5.1
P05000P50C25N45,87.24,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,93,-0.4,5
P05000P50C25O42,54.22,15.06,3.31,15.36,0,0,0,0,0,0,0,0,0,0,0,3.6,39.7,0.3,1.8
P05000P50C25O43,85.18,0.95,0.09,0.13,0,0,0,0,0,0,0,0,0,0,0,5.9,81.4,2.3,8
P05000P50C25O44,86.17,0.19,0,0.05,0,0,0,0,0,0,0,0,0,0,0,5.1,85.7,0,4.1
P05000P50C25O96,61.57,24.3,0.87,0.94,0,0,0,0,0,0,0,0,0,0,0,4.7,64.2,9.3,23.9
P05000P50C25Q01,12.65,63.67,7.56,4.8,0,0,0,0,0,0,0,0,0,0,0,7.9,39.9,7.3,13.7
P05000P50C25Q02,85.17,1.47,0.48,0.71,0,0,0,0,0,0,0,0,0,0,0,4.6,71.8,1.7,5
P05000P50C25Q03,32.93,26.28,16.51,12.64,0,0,0,0,0,0,0,0,0,0,0,10.4,36.6,4.1,4.3
P05000P50C25Q04,44.66,6.18,1.07,38.06,0,0,0,0,0,0,0,0,0,0,0,11.8,38.1,-0.7,-0.4
P05000P50C25R53,0,11.8,1.21,1.37,72.11,0,0,0,0,0,0,0,0,0,0,12.3,62,4.9,12.7
P05000P50C25R86,0,21.74,10.29,3.58,51.59,0,0,0,0,0,0,0,0,0,0,6,48.8,6.8,9.4
P05000P50C23U47,77.08,0,1.46,10.38,0,0,0,0,0,0,0,0,0,0,0,16.9,43.5,-0.2,-0.7
P05000P66C24G38,92.99,2.76,0.59,0.66,0,0,0,0,0,0,0,0,0,0,0,86.7,75.4,3.1,8.9
P05000P66C24S92,42.23,36.59,5.16,0,0,13.02,0,0,0,0,0,0,0,0,0,83.6,50.6,-8.2,14.2
P05000P73C25L85,5.32,59.23,0,0,0,0,0,0,32.45,0,0,0,0,0,0,84.3,35.2,-11.5,3.2
P05000P73C25L86,19.12,11.75,0.69,0,0,0,0,19.58,45.85,0,0,0,0,0,0,85,34.6,-6.2,-16.6
P05000P73C25H65,0,15.02,3.95,19.73,51.23,0,0,0,0,0,0,0,0,0,0,33.1,37.9,-0.3,0.23
P05000P73C25I38,0,0,0,88.7,0,0,0,0,0,0,0,0,0,0,0,26.8,25.7,-0.6,-0.7
P05000P73C25I39,11.46,4.18,11.07,61.89,0,0,0,0,0,0,0,0,0,0,0,24.6,26.9,-0.3,-0.5
P05000P73C25I40,20.29,2.32,12.59,53.78,0,0,0,0,0,0,0,0,0,0,0,20.6,28.3,0,-0.7
P05000P73C25J23,14.1,4.5,15.09,54.01,0,0,0,0,0,0,0,0,0,0,0,18.3,27.6,-0.1,-0.6
P05000P73C25K25,54.04,7.41,3.59,16.92,0,0,0,0,0,0,0,0,0,0,0,1.2,39.1,-0.1,0
P05000P73C25L58,95.65,0.89,0.02,0.44,0,0,0,0,0,0,0,0,0,0,0,85.5,80.2,-0.4,4.2
P05000P77C25A89,7.79,45.86,16.97,20.75,0,0,0,0,0,0,0,0,0,0,0,46.6,30.9,2.4,3.4
P05000P78C25A65,20.15,31.27,3.22,6.06,0,28.24,0,0,0,0,0,0,0,0,0,27.2,36.8,-8.5,4
P05000P78C25A66,75.75,0,1.46,0.7,0,8.65,4.28,0,0,0,0,0,0,0,0,38.7,61.4,-17.5,6.5
P05000P78C25K20,55.33,0,1.58,0.03,0,19.77,16.42,0,0,0,0,0,0,0,0,60.4,56.2,-28.3,16.3
P05000P78C25K19,71.21,0,0,0,0,2.73,0,0,0.03,0.59,0,14.05,0,0,0,14.5,71.7,-24.9,24.7
P05000P78C25F97,69.8,0,0.85,0.79,0,0,0,0,25.56,0,0,0,0,0,0,84.6,53.2,-23.4,-25.9
P05000P78C25L73,39.49,0,0,0,0,0,56.86,0,0,0,0.65,0,0,0,0,84.2,78.2,21.6,67.6
P05000P78C25D93,89.93,1.55,0,0.02,0,0,0,0,0,0,0,0,0,0,0,53.3,88.1,2.3,14.1
P05000P78C24Q08,67.38,1.85,0,0.33,0,0,0,1.7,23.27,0,0,0,0.14,0,0,74.1,52.5,-22.4,-26.2
P05000P78C25C97,93.71,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7,87,2.3,11.9
P05000P78C25C98,87.26,4.7,0,0.13,0,0.03,2.79,0,0,0,0,0,0,0,0,71.2,80.5,4.4,26.7
P05000P78C25R95,0,48.77,15.36,2.57,21.8,0,0,0,0,0,0,0,0,0,0,20.6,44.2,12.2,15.6
P05000P78C25R38,0,1.17,0,0.45,88.04,0,0,0,0,0,0,0,0,0,0,37,77.8,-0.4,4.6
P05000P78C25L39,60.66,8.59,0,21.26,0,3.08,0,0,0,0,0,0,0,0,0,55.4,37.9,-1.9,-0.7
P05000P78C25O50,88.2,0,0.76,0.07,0,0,0,0.03,0,1.12,0,0,0,0,0,40.8,74.5,13.4,1.7
P05000P78C25G81,59.75,27.52,0,0,0,0,3.6,0,0,0,0,0,0,0,0,38.3,72.6,14.8,39.7
P05000P78C25K47,63.2,0,0,0.09,0,0,16.72,0,0,0,0,8.39,0,0,0,26.9,81.5,5,57
P05000P78C25O53,82.98,9.2,0.33,0.71,0,0,0,0,0,0,0,0,0,0,0,40,72,4,15
P05000P78C25O51,51.36,0,0,0.18,0,0,0,0,0,0,0.21,10.29,0,0,28.45,35.6,77.9,9,56.6
P05000P78C25O52,89.36,0,0,0,0,0,0.89,0.34,0.72,0,0,0,0,0,0,42.3,78,-10.7,-3.3
P05000P78C25O87,4.78,0,0,0,0,0.12,88.49,0,0,0,0.14,0,0,0,0,64.1,74.5,16.9,75.8
P05000P78C25O29,61.86,31.16,0,0,0,0.05,0,0,0,0,0,0,0,0,0,44.7,73.3,15.7,38.5
P05000P78C25O30,84.12,2.07,0,0,0,0,0,0.88,6.21,0,0,0,0,0,0,57,66.5,-20.3,-15.5
P05000P78C25O28,78.89,0,0,0,0,1.21,4.68,0,1.31,0,0,6.73,0,0,0,56.7,73.9,-23.7,23.4
P05000P78C25L64,10.42,41.29,20.58,14.85,0,0,0,0,0,1.37,0,0,0,0,0,18.9,32.2,3.2,4
P05000P78C24W23,6.25,39.37,20.53,19.54,0,0,0,0,0,0,0,0,0,0,0,0.8,28.5,3.1,4.3
P05000P78C25P87,8.32,19.45,46.74,18.7,0,0,0,0.09,0,0,0,0,0,0,0,51.7,29.6,5.2,4.1
P05000P78C25R37,0,31.43,16.69,17.06,18.77,0,0,0,0,0,0,0,0,0,0,7.4,32.9,2.4,3.2
P05000P78C25M63,8.55,35.32,27.32,12.37,0,0,0,0,0,3.9,0,0,0,0,0,20.2,32,3.2,4.1
P05000P78C25J05,36.6,45.71,7.24,0.93,0,0,0,0,0,0,0,0,0,0,0,27.6,52.8,16.1,22.3
P05000P78C25H51,2.57,2.82,13.34,71.41,0,0,0,0,0,0,0,0,0,0,0,23.9,26.2,-0.1,-0.2
P05000P78C25N11,88.32,1.58,0.06,0.48,0,0,0,0,0,0,0,0,0,0,0,30.4,76.9,-0.7,6.3
P05000P78C24Q33,89.43,0.28,0,0.7,0,0,0,0,0,0,0,0,0,0,0,29.8,75.5,-1.6,1.7
P05000P78C25L14,84.39,1.82,0,1.77,0,0,0,0,0,0,0,0,0,0,0,15.4,65.2,-0.8,2.3
P05000P78C25Q19,12.48,31.94,14.12,28.54,0,0,0,0,0,0,0,0,0,0,0,3.3,29.6,1,1.8
P05000P79C25C70,0,0,0,86.76,0,0,0,0,0,0,0,0,0,0,0,11.5,25.4,-0.6,-0.7
P05000P79C24W94,88.18,0.75,0,0.81,0,0,0,0,0,0,0,0,0,0,0,32.7,74.2,-0.7,2.7
P05000P79C25C52,33.46,16.36,6.79,32.77,0,0,0,0,0,0,0,0,0,0,0,33,31.9,0.1,0.1
P05000P79C25F17,13.55,26.96,11.52,38.32,0,0,0,0,0,0,0,0,0,0,0,22,29.4,0.3,0.7
P05000P79C25H02,88.9,0.21,0,0,0,0,0,0,0,0.01,0,0,0,0,0,30.8,89,-0.9,4.5
P05000P79C25H03,89.65,0.25,0,0.09,0,0,0,0,0,0,0,0,0,0,0,32.6,87,-0.6,3.9
P05000P79C25H04,24.93,25.4,6.77,35.07,0,0,0,0,0,0,0,0,0,0,0,46.6,30.8,-0.1,0.4
P05000P79C25H74,70.06,4.32,1.67,14.55,0,0,0,0,0,0,0,0,0,0,0,25.5,44.6,-0.7,-0.7
P05000P79C25J42,45.89,13.99,0.87,26.44,0,0,0,0,0,0,0,0,0,0,0,11.8,34.4,-0.9,-0.2
GMPC05000110185,37.92,3.72,0,55.36,0,0,0,0,0,0,0,0,0,0,0,82.5,29.5,-0.7,-0.9
GMPC05000110149,95.07,0.88,0,0.9,0,0.24,0,0,0,0,0,0,0,0,0,69.2,74.5,-3.5,2
